smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
宝骏,510,5.68,小型SUV,两厢,- -,1年2个月,1.62万公里,1.5L,6.3L,1.5L/手动,- -,两厢,- -,2017年07月,陕西 西安,
丰田,卡罗拉,11.80,紧凑型,4门5座三厢,452L,9个月,2.01万公里,1.2L,5.6L,1.2L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2017年12月,陕西 西安,
别克,君威,11.50,中型,4门5座三厢,442L,2年8个月,5.58万公里,1.6L,8.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2016年01月,陕西 西安,
日产,骊威,5.80,小型,5门5座两厢,371L,4年5个月,6.20万公里,1.6L,6.3L,1.6L/手动,前轮驱动,5门5座两厢,4249mm*1699mm*1577mm,2014年04月,黑龙江 哈尔滨,
现代,瑞纳,7.38,小型,4门5座三厢,454L,1年3个月,1.21万公里,1.4L,6.1L,1.4L/自动,前轮驱动,4门5座三厢,4375mm*1700mm*1460mm,2017年06月,广东 惠州,
大众,POLO,5.80,小型,5门5座两厢,250L,2年,3.90万公里,1.4L,5.8L,1.4L/手动,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2016年09月,陕西 西安,
丰田,威驰,7.58,小型,4门5座三厢,506L,1年1个月,1.10万公里,1.5L,5.1L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4420mm*1700mm*1490mm,2017年07月,广东 惠州,
大众,朗逸,9.18,紧凑型,4门5座三厢,478L,2年10个月,5.40万公里,1.6L,Null,1.6L/手自一体,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2015年11月,广东 惠州,
丰田,威驰,6.95,小型,4门5座三厢,476L,2年3个月,2.40万公里,1.5L,5.6L,1.5L/自动,前轮驱动,4门5座三厢,4410mm*1700mm*1490mm,2016年06月,黑龙江 哈尔滨,
东风风行,景逸X5,5.60,紧凑型SUV,5门5座两厢,570L,2年5个月,2.80万公里,1.6L,6.6L,1.6L/手动,前轮驱动,5门5座两厢,4382mm*1835mm*1739mm,2016年04月,黑龙江 哈尔滨,
现代,朗动,8.60,紧凑型,4门5座三厢,473L,2年8个月,3.00万公里,1.6L,6.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2016年01月,黑龙江 哈尔滨,
雪铁龙,爱丽舍,5.60,紧凑型,4门5座三厢,485L,4年5个月,3.80万公里,1.6L,6.8L,1.6L/手动,前轮驱动,4门5座三厢,4427mm*1748mm*1476mm,2014年04月,贵州 贵阳,
本田,XR-V,14.58,小型SUV,5门5座两厢,- -,3年3个月,6.80万公里,1.8L,6.6L,1.8L/CVT无级变速,前轮驱动,5门5座两厢,4270mm*1772mm*1605mm,2015年06月,海南 海口,
陆风,X7,11.80,紧凑型SUV,5门5座两厢,- -,2年6个月,1.90万公里,2.0L,10.4L,2.0L/手自一体,前轮驱动,5门5座两厢,4420mm*1910mm*1630mm,2016年03月,广东 惠州,
陆风,X7,8.98,紧凑型SUV,5门5座两厢,- -,2年8个月,2.66万公里,2.0L,10.4L,2.0L/手自一体,前轮驱动,5门5座两厢,4420mm*1910mm*1630mm,2016年01月,山东 潍坊,
宝骏,730,5.88,MPV,5门7座单厢,- -,3年2个月,2.81万公里,1.5L,7.1L,1.5L/手动,前轮驱动,5门7座单厢,4685mm*1785mm*1745mm,2015年07月,广东 惠州,
江淮,瑞风M3,6.50,MPV,4门7座单厢,- -,1年4个月,1.80万公里,1.6L,8.7L,1.6L/手动,后轮驱动,4门7座单厢,4645mm*1740mm*1900mm,2017年05月,黑龙江 哈尔滨,
江淮,瑞风M3,5.80,MPV,4门7座单厢,- -,2年1个月,5.70万公里,1.6L,8.7L,1.6L/手动,后轮驱动,4门7座单厢,4645mm*1740mm*1900mm,2016年08月,黑龙江 哈尔滨,
丰田,雷凌,8.98,紧凑型,4门5座三厢,426L,3年2个月,5.28万公里,1.6L,5.9L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2015年07月,广东 珠海,
吉利,帝豪,4.98,紧凑型,4门5座三厢,680L,2年4个月,4.20万公里,1.5L,5.7L,1.5L/手动,前轮驱动,4门5座三厢,4631mm*1789mm*1470mm,2016年05月,广东 惠州,
雪铁龙,C3-XR,8.45,小型SUV,5门5座两厢,357L,3年,2.60万公里,1.6L,7.3L,1.6L/手自一体,前轮驱动,5门5座两厢,4262mm*1748mm*1557mm,2015年09月,黑龙江 哈尔滨,
长城,风骏5,7.90,皮卡,4门5座皮卡,- -,2年8个月,3.00万公里,2.4L,Null,2.4L/手动,分时四驱,4门5座皮卡,5390mm*1800mm*1730mm,2016年01月,黑龙江 哈尔滨,
起亚,K3,9.00,紧凑型,4门5座三厢,- -,1年4个月,3.93万公里,1.6L,6.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4600mm*1780mm*1445mm,2017年05月,广东 惠州,
现代,瑞纳,4.88,小型,4门5座三厢,454L,4年4个月,5.20万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4340mm*1700mm*1460mm,2014年05月,广东 惠州,
别克,英朗,5.88,紧凑型,4门5座三厢,455L,5年8个月,3.60万公里,1.8L,7.9L,1.8L/手自一体,前轮驱动,4门5座三厢,4671mm*1815mm*1478mm,2013年01月,广东 惠州,
比亚迪,S6,5.30,中型SUV,5门5座两厢,1084L,4年9个月,6.23万公里,2.0L,8.0L,2.0L/手动,前轮驱动,5门5座两厢,4810mm*1855mm*1680mm,2013年12月,广东 惠州,
雪铁龙,世嘉,4.48,紧凑型,5门5座两厢,385L,6年4个月,6.49万公里,2.0L,8.0L,2.0L/手动,前轮驱动,5门5座两厢,4282mm*1773mm*1483mm,2012年05月,黑龙江 哈尔滨,
丰田,RAV4荣放,14.20,紧凑型SUV,5门5座两厢,- -,3年8个月,3.09万公里,2.0L,8.0L,2.0L/CVT无级变速,适时四驱,5门5座两厢,4570mm*1845mm*1670mm,2015年01月,吉林 延边,
丰田,RAV4荣放,16.30,紧凑型SUV,5门5座两厢,- -,2年7个月,2.60万公里,2.0L,7.3L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4570mm*1845mm*1670mm,2016年02月,陕西 西安,
雪佛兰,科鲁兹,5.80,紧凑型,4门5座三厢,400L,7年1个月,8.54万公里,1.8L,7.8L,1.8L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2011年08月,广东 惠州,
雪佛兰,科鲁兹,4.70,紧凑型,4门5座三厢,400L,7年4个月,8.61万公里,1.6L,7.7L,1.6L/手动,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2011年05月,山东 潍坊,
雪佛兰,科鲁兹,6.58,紧凑型,4门5座三厢,400L,4年6个月,5.23万公里,1.8L,7.8L,1.8L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2014年03月,贵州 贵阳,
别克,君威,12.80,中型,4门5座三厢,442L,3年7个月,5.21万公里,1.6L,8.3L,1.6L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2015年02月,吉林 吉林,
别克,君威,10.50,中型,4门5座三厢,442L,3年8个月,4.41万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2015年01月,山东 潍坊,
别克,君威,10.98,中型,4门5座三厢,442L,4年1个月,8.01万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2014年08月,海南 海口,
奔驰,GLK级(进口),19.80,中型SUV,5门5座两厢,450L,7年5个月,10.00万公里,3.0L,11.3L,3.0L/手自一体,全时四驱,5门5座两厢,4528mm*1840mm*1691mm,2011年04月,陕西 西安,
丰田,威驰,6.98,小型,4门5座三厢,476L,2年2个月,3.69万公里,1.5L,5.6L,1.5L/自动,前轮驱动,4门5座三厢,4410mm*1700mm*1490mm,2016年07月,海南 海口,
本田,雅阁,13.60,中型,4门5座三厢,- -,5年4个月,9.23万公里,2.4L,8.7L,2.4L/自动,前轮驱动,4门5座三厢,4960mm*1860mm*1480mm,2013年05月,广东 惠州,
日产,骊威,5.18,小型,5门5座两厢,383L,5年5个月,7.00万公里,1.6L,7.4L,1.6L/手动,前轮驱动,5门5座两厢,4178mm*1690mm*1565mm,2013年04月,黑龙江 哈尔滨,
福特,福克斯,8.98,紧凑型,4门5座三厢,530L,2年,3.92万公里,1.0L,5.6L,1.0L/手自一体,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2016年09月,海南 海口,
丰田,凯美瑞,13.80,中型,4门5座三厢,- -,5年,9.00万公里,2.5L,7.6L,2.5L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2013年09月,陕西 西安,
丰田,凯美瑞,13.60,中型,4门5座三厢,- -,5年7个月,6.67万公里,2.0L,8.1L,2.0L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2013年02月,广东 珠海,
本田,雅阁,9.50,中型,4门5座三厢,447L,6年8个月,8.00万公里,2.0L,7.9L,2.0L/手动,前轮驱动,4门5座三厢,4945mm*1845mm*1480mm,2012年01月,陕西 西安,
沃尔沃,XC90,29.98,中大型SUV,5门7座两厢,249L,5年1个月,8.10万公里,2.5L,11.8L,2.5L/手自一体,全时四驱,5门7座两厢,4807mm*1936mm*1784mm,2013年08月,海南 海口,
欧宝,赛飞利,6.80,MPV,5门7座两厢,- -,7年2个月,7.47万公里,1.8L,8.0L,1.8L/手动,前轮驱动,5门7座两厢,4467mm*1801mm*1635mm,2011年07月,山东 潍坊,
福特,福克斯,8.58,紧凑型,4门5座三厢,530L,5年1个月,8.41万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2013年08月,海南 海口,
雪铁龙,爱丽舍,2.60,紧凑型,4门5座三厢,437L,7年6个月,8.15万公里,1.6L,7.8L,1.6L/手动,前轮驱动,4门5座三厢,4367mm*1708mm*1413mm,2011年03月,山东 潍坊,
长安欧尚,金牛星,2.70,面包车,- -,- -,3年4个月,4.00万公里,1.2L,Null,1.2L/- -,- -,- -,- -,2015年05月,山东 潍坊,
长安汽车,悦翔V5,2.98,小型,4门5座三厢,- -,5年3个月,5.02万公里,1.5L,6.0L,1.5L/手动,前轮驱动,4门5座三厢,4415mm*1710mm*1475mm,2013年06月,山东 潍坊,
别克,威朗,9.88,紧凑型,4门5座三厢,460L,2年3个月,3.51万公里,1.5L,6.3L,1.5L/手自一体,前轮驱动,4门5座三厢,4718mm*1802mm*1466mm,2016年06月,广东 惠州,
福特,翼虎,14.98,紧凑型SUV,5门5座两厢,960L,1年3个月,3.85万公里,1.5L,7.6L,1.5L/手自一体,适时四驱,5门5座两厢,4524mm*1838mm*1695mm,2017年06月,陕西 西安,
日产,阳光,4.80,紧凑型,4门5座三厢,490L,7年5个月,8.51万公里,1.5L,5.8L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4426mm*1696mm*1517mm,2011年04月,广东 惠州,
江淮,瑞风M3,5.80,MPV,- -,- -,2年6个月,2.40万公里,1.6L,8.7L,1.6L/- -,- -,- -,- -,2016年03月,黑龙江 哈尔滨,
标致,307,3.18,紧凑型,4门5座三厢,620L,6年11个月,3.14万公里,1.6L,7.8L,1.6L/手动,前轮驱动,4门5座三厢,4481mm*1746mm*1526mm,2011年10月,山东 潍坊,
众泰,T600,4.68,中型SUV,5门5座两厢,344L,2年10个月,3.33万公里,1.5L,7.9L,1.5L/手动,前轮驱动,5门5座两厢,4631mm*1893mm*1694mm,2015年11月,山东 潍坊,
海马,海福星,2.58,紧凑型,4门5座三厢,416L,6年10个月,7.03万公里,1.3L,6.3L,1.3L/手动,前轮驱动,4门5座三厢,4464mm*1695mm*1425mm,2011年11月,山东 潍坊,
马自达,CX-7,14.88,中型SUV,5门5座两厢,400L,2年10个月,6.00万公里,2.3L,11.5L,2.3L/手自一体,适时四驱,5门5座两厢,4705mm*1872mm*1645mm,2015年11月,广东 惠州,
马自达,6,5.90,中型,4门5座三厢,500L,6年8个月,7.80万公里,2.0L,8.0L,2.0L/手自一体,前轮驱动,4门5座三厢,4670mm*1780mm*1435mm,2012年01月,贵州 贵阳,
别克,君越,11.90,中型,4门5座三厢,510L,7年1个月,7.32万公里,2.4L,9.4L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2011年08月,广东 惠州,
起亚,凯绅,10.90,中型,4门5座三厢,525L,3年,4.79万公里,1.8L,7.3L,1.8L/手自一体,前轮驱动,4门5座三厢,4720mm*1815mm*1465mm,2015年09月,广东 惠州,
丰田,锐志,18.80,中型,4门5座三厢,480L,3年4个月,6.14万公里,2.5L,9.0L,2.5L/手自一体,后轮驱动,4门5座三厢,4750mm*1795mm*1450mm,2015年05月,广东 惠州,
标致,408,4.80,紧凑型,4门5座三厢,562L,6年,3.54万公里,2.0L,8.1L,2.0L/手动,前轮驱动,4门5座三厢,4688mm*1815mm*1525mm,2012年09月,山东 潍坊,
日产,轩逸,8.20,紧凑型,- -,- -,1年3个月,0.97万公里,1.6L,7.6L,1.6L/- -,- -,- -,- -,2017年06月,广东 惠州,
广汽传祺,传祺GS4,10.58,紧凑型SUV,5门5座两厢,450L,2年7个月,4.17万公里,1.3L,6.3L,1.3L/双离合,前轮驱动,5门5座两厢,4510mm*1852mm*1708mm,2016年02月,广东 惠州,
MINI,COUNTRYMAN,16.58,紧凑型SUV,5门5座两厢,- -,5年,5.40万公里,1.6L,7.7L,1.6L/手自一体,前轮驱动,5门5座两厢,4097mm*1789mm*1561mm,2013年09月,山东 潍坊,
雪铁龙,爱丽舍,5.28,紧凑型,4门5座三厢,485L,3年1个月,6.78万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4427mm*1748mm*1476mm,2015年08月,广东 惠州,
吉利,帝豪,5.38,紧凑型,4门5座三厢,680L,2年4个月,2.50万公里,1.5L,5.7L,1.5L/手动,前轮驱动,4门5座三厢,4631mm*1789mm*1470mm,2016年05月,陕西 西安,
哈弗,H6,5.60,紧凑型SUV,5门5座两厢,1202L,5年10个月,7.00万公里,2.4L,10.4L,2.4L/自动,前轮驱动,5门5座两厢,4640mm*1825mm*1690mm,2012年11月,陕西 西安,
奔腾,B50,7.60,紧凑型,4门5座三厢,435L,1年2个月,1.80万公里,1.6L,6.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4695mm*1795mm*1460mm,2017年07月,陕西 西安,
马自达,3 星骋,8.38,紧凑型,4门5座三厢,377L,3年4个月,9.25万公里,1.6L,7.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4595mm*1755mm*1475mm,2015年05月,广东 珠海,
本田,思域,8.80,紧凑型,4门5座三厢,440L,6年1个月,8.19万公里,1.8L,6.8L,1.8L/自动,前轮驱动,4门5座三厢,4535mm*1755mm*1450mm,2012年08月,山东 潍坊,
荣威,350,3.90,紧凑型,4门5座三厢,458L,6年6个月,6.00万公里,1.5L,8.3L,1.5L/自动,前轮驱动,4门5座三厢,4521mm*1788mm*1492mm,2012年03月,陕西 西安,
日产,骐达,6.98,紧凑型,5门5座两厢,310L,5年9个月,6.40万公里,1.6L,6.2L,1.6L/CVT无级变速,前轮驱动,5门5座两厢,4295mm*1760mm*1520mm,2012年12月,广东 珠海,
丰田,皇冠,27.80,中大型,4门5座三厢,510L,1年10个月,2.27万公里,2.0L,7.4L,2.0L/手自一体,后轮驱动,4门5座三厢,5020mm*1805mm*1480mm,2016年11月,海南 海口,
大众,捷达,6.80,紧凑型,4门5座三厢,442L,1年7个月,3.00万公里,1.4L,5.9L,1.4L/手动,前轮驱动,4门5座三厢,4501mm*1704mm*1469mm,2017年02月,陕西 西安,
华泰,圣达菲,4.38,紧凑型SUV,5门5座两厢,430L,2年3个月,3.22万公里,1.5L,7.2L,1.5L/手动,前轮驱动,5门5座两厢,4426mm*1862mm*1709mm,2016年06月,广东 惠州,
长城,M4,3.90,小型,5门5座两厢,- -,4年9个月,7.30万公里,1.5L,6.0L,1.5L/手动,前轮驱动,5门5座两厢,3961mm*1728mm*1617mm,2013年12月,黑龙江 哈尔滨,
日产,颐达,3.60,紧凑型,4门5座三厢,467L,7年9个月,10.00万公里,1.6L,7.2L,1.6L/手动,前轮驱动,4门5座三厢,4480mm*1695mm*1535mm,2010年12月,陕西 西安,
日产,天籁,13.98,中型,4门5座三厢,516L,2年2个月,5.04万公里,2.0L,7.2L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4891mm*1830mm*1490mm,2016年07月,广东 惠州,
日产,天籁,14.00,中型,4门5座三厢,516L,2年1个月,2.82万公里,2.0L,7.2L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4891mm*1830mm*1490mm,2016年08月,广东 惠州,
双龙,柯兰多,8.80,紧凑型SUV,5门5座两厢,- -,2年5个月,3.78万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,5门5座两厢,4410mm*1830mm*1710mm,2016年04月,山东 潍坊,
雪铁龙,C3-XR,7.50,小型SUV,5门5座两厢,357L,1年10个月,2.50万公里,1.6L,6.9L,1.6L/手动,前轮驱动,5门5座两厢,4262mm*1748mm*1557mm,2016年11月,陕西 西安,
丰田,雷凌,10.50,紧凑型,4门5座三厢,426L,1年4个月,1.85万公里,1.2L,5.6L,1.2L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2017年05月,广东 惠州,
本田,XR-V,13.20,小型SUV,5门5座两厢,- -,1年11个月,0.19万公里,1.8L,6.6L,1.8L/CVT无级变速,前轮驱动,5门5座两厢,4270mm*1772mm*1605mm,2016年10月,陕西 西安,
起亚,K3S,8.50,紧凑型,5门5座两厢,- -,3年5个月,3.40万公里,1.6L,6.8L,1.6L/自动,前轮驱动,5门5座两厢,4365mm*1780mm*1460mm,2015年04月,陕西 西安,
福特,福睿斯,9.60,紧凑型,4门5座三厢,448L,2年10个月,4.50万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2015年11月,广东 惠州,
现代,胜达,13.00,中型SUV,5门5座两厢,- -,5年,6.00万公里,2.4L,9.0L,2.4L/手自一体,前轮驱动,5门5座两厢,4725mm*1880mm*1686mm,2013年09月,陕西 西安,
雪铁龙,C4L,7.80,紧凑型,4门5座三厢,435L,5年6个月,3.85万公里,1.6L,7.5L,1.6L/手自一体,前轮驱动,4门5座三厢,4620mm*1780mm*1498mm,2013年03月,贵州 贵阳,
起亚,K2,6.98,小型,4门5座三厢,- -,1年9个月,4.10万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4378mm*1700mm*1460mm,2016年12月,广东 惠州,
起亚,K2,5.85,小型,4门5座三厢,- -,2年7个月,2.00万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4378mm*1700mm*1460mm,2016年02月,黑龙江 哈尔滨,
奔腾,X80,10.80,紧凑型SUV,5门5座两厢,398L,1年6个月,2.03万公里,1.8L,8.1L,1.8L/手自一体,前轮驱动,5门5座两厢,4620mm*1820mm*1695mm,2017年03月,吉林 吉林,
现代,瑞纳,5.20,小型,4门5座三厢,454L,4年9个月,6.20万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4340mm*1700mm*1460mm,2013年12月,陕西 西安,
哈弗,H6,7.46,紧凑型SUV,5门5座两厢,808L,4年8个月,7.46万公里,2.4L,10.4L,2.4L/自动,前轮驱动,5门5座两厢,4640mm*1825mm*1690mm,2014年01月,陕西 西安,
大众,CC,22.68,中型,4门5座三厢,532L,3年4个月,3.54万公里,2.0L,8.0L,2.0L/双离合,前轮驱动,4门5座三厢,4812mm*1855mm*1417mm,2015年05月,海南 海口,
本田,CR-Z,18.80,紧凑型,3门4座两厢,216L,4年8个月,6.61万公里,1.5L,5.0L,1.5L/CVT无级变速,前轮驱动,3门4座两厢,4080mm*1740mm*1395mm,2014年01月,广东 惠州,
大众,途观,14.20,紧凑型SUV,5门待查,400L,5年3个月,5.36万公里,1.8L,8.8L,1.8L/手自一体,前轮驱动,5门待查,4525mm*1809mm*1685mm,2013年06月,山东 潍坊,
现代,名驭,4.20,中型,4门5座三厢,430L,7年10个月,2.69万公里,2.0L,9.1L,2.0L/自动,前轮驱动,4门5座三厢,4770mm*1820mm*1420mm,2010年11月,山东 潍坊,
本田,奥德赛,22.98,MPV,5门7座两厢,- -,6个月,0.70万公里,2.4L,7.8L,2.4L/CVT无级变速,前轮驱动,5门7座两厢,4845mm*1805mm*1695mm,2018年03月,海南 海口,
别克,君越,12.88,中型,4门5座三厢,- -,5年4个月,8.21万公里,2.4L,9.2L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2013年05月,广东 惠州,
别克,君越,13.30,中型,4门5座三厢,510L,4年9个月,8.98万公里,2.0L,9.7L,2.0L/手自一体,前轮驱动,4门5座三厢,5005mm*1858mm*1500mm,2013年12月,山东 潍坊,
名爵,6,5.30,紧凑型,5门5座两厢,429L,7年4个月,7.00万公里,1.8L,9.5L,1.8L/手自一体,前轮驱动,5门5座两厢,4653mm*1827mm*1478mm,2011年05月,黑龙江 哈尔滨,
大众,高尔夫,10.90,紧凑型,5门5座两厢,380L,3年4个月,4.60万公里,1.4L,5.8L,1.4L/双离合,前轮驱动,5门5座两厢,4255mm*1799mm*1452mm,2015年05月,黑龙江 哈尔滨,
别克,君威,8.80,中型,4门5座三厢,500L,6年9个月,7.30万公里,2.0L,8.8L,2.0L/手自一体,前轮驱动,4门5座三厢,4830mm*1856mm*1484mm,2011年11月,贵州 贵阳,
雪佛兰,科鲁兹,6.50,紧凑型,4门5座三厢,461L,2年8个月,2.42万公里,1.5L,6.6L,1.5L/手动,前轮驱动,4门5座三厢,4643mm*1797mm*1477mm,2016年01月,吉林 吉林,
雪佛兰,科鲁兹,6.20,紧凑型,4门5座三厢,400L,6年,6.00万公里,1.8L,7.8L,1.8L/手自一体,前轮驱动,4门5座三厢,4598mm*1797mm*1477mm,2012年09月,陕西 西安,
标致,207,3.28,小型,5门5座两厢,885L,6年9个月,8.50万公里,1.4L,6.4L,1.4L/手动,前轮驱动,5门5座两厢,3900mm*1680mm*1468mm,2011年12月,贵州 贵阳,
奥迪,A6L,28.30,中大型,4门5座三厢,460L,4年4个月,5.50万公里,2.5L,7.5L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,5015mm*1874mm*1455mm,2014年05月,黑龙江 哈尔滨,
日产,奇骏,17.60,紧凑型SUV,5门5座两厢,700L,1年5个月,1.93万公里,2.0L,7.1L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4675mm*1820mm*1722mm,2017年04月,陕西 西安,
丰田,RAV4荣放,13.50,紧凑型SUV,5门5座两厢,1031L,6年2个月,5.94万公里,2.4L,9.4L,2.4L/自动,适时四驱,5门5座两厢,4630mm*1855mm*1720mm,2012年07月,吉林 吉林,
马自达,睿翼,9.68,中型,4门5座三厢,519L,6年4个月,9.60万公里,2.5L,8.3L,2.5L/手自一体,前轮驱动,4门5座三厢,4755mm*1795mm*1440mm,2012年05月,广东 惠州,
哈弗,H6,5.90,紧凑型SUV,5门5座两厢,808L,5年7个月,4.65万公里,1.5L,7.2L,1.5L/手动,前轮驱动,5门5座两厢,4640mm*1825mm*1690mm,2013年02月,吉林 吉林,
大众,途观,10.40,紧凑型SUV,5门5座两厢,400L,6年10个月,8.90万公里,1.8L,9.2L,1.8L/手自一体,前轮驱动,5门5座两厢,4525mm*1809mm*1665mm,2011年11月,山东 潍坊,
大众,途观,16.60,紧凑型SUV,5门5座两厢,400L,2年8个月,7.76万公里,1.8L,8.6L,1.8L/手自一体,前轮驱动,5门5座两厢,4506mm*1809mm*1685mm,2016年01月,广东 珠海,
哈弗,H6,4.90,紧凑型SUV,5门5座两厢,808L,6年,6.00万公里,2.0L,Null,2.0L/手动,前轮驱动,5门5座两厢,4640mm*1825mm*1690mm,2012年09月,黑龙江 哈尔滨,
哈弗,H6,11.80,紧凑型SUV,5门5座两厢,808L,1年11个月,3.80万公里,1.5L,9.2L,1.5L/手自一体,前轮驱动,5门5座两厢,4649mm*1852mm*1710mm,2016年10月,广东 惠州,
现代,朗动,8.60,紧凑型,4门5座三厢,473L,1年11个月,3.14万公里,1.6L,6.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2016年10月,广东 惠州,
本田,凌派,10.68,紧凑型,4门5座三厢,588L,1年11个月,3.00万公里,1.8L,6.3L,1.8L/CVT无级变速,前轮驱动,4门5座三厢,4664mm*1750mm*1505mm,2016年10月,陕西 西安,
本田,凌派,10.30,紧凑型,4门5座三厢,588L,2年9个月,5.68万公里,1.8L,6.7L,1.8L/自动,前轮驱动,4门5座三厢,4650mm*1750mm*1505mm,2015年12月,广东 惠州,
哈弗,H2,5.80,小型SUV,5门5座两厢,- -,3年8个月,6.30万公里,1.5L,7.0L,1.5L/手动,前轮驱动,5门5座两厢,4335mm*1814mm*1695mm,2015年01月,广东 珠海,
福特,福睿斯,13.98,紧凑型,4门5座三厢,448L,3年4个月,6.89万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2015年05月,海南 海口,
雪铁龙,C4L,8.28,紧凑型,4门5座三厢,435L,4年5个月,7.40万公里,1.8L,7.6L,1.8L/手自一体,前轮驱动,4门5座三厢,4620mm*1780mm*1498mm,2014年04月,黑龙江 哈尔滨,
宝骏,730,6.58,MPV,5门7座单厢,- -,1年11个月,2.70万公里,1.5L,6.9L,1.5L/手动,前轮驱动,5门7座单厢,4710mm*1785mm*1745mm,2016年10月,黑龙江 哈尔滨,
宝骏,730,5.38,MPV,5门7座单厢,- -,3年7个月,4.30万公里,1.5L,7.1L,1.5L/手动,前轮驱动,5门7座单厢,4685mm*1785mm*1745mm,2015年02月,广东 珠海,
马自达,3 昂克赛拉,12.50,紧凑型,4门5座三厢,419L,11个月,2.91万公里,1.5L,5.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4582mm*1795mm*1458mm,2017年10月,陕西 西安,
本田,缤智,15.80,小型SUV,5门5座两厢,437L,2年8个月,3.78万公里,1.8L,6.5L,1.8L/CVT无级变速,前轮驱动,5门5座两厢,4294mm*1772mm*1605mm,2016年01月,广东 惠州,
海马,S5,5.68,紧凑型SUV,5门5座两厢,320L,4年2个月,5.60万公里,1.6L,7.3L,1.6L/手动,前轮驱动,5门5座两厢,4358mm*1823mm*1630mm,2014年07月,贵州 贵阳,
纳智捷,优6 SUV,7.98,紧凑型SUV,5门5座两厢,- -,2年3个月,3.00万公里,1.8L,7.9L,1.8L/手自一体,前轮驱动,5门5座两厢,4625mm*1825mm*1620mm,2016年06月,广东 珠海,
东风风行,风行S500,6.98,MPV,5门5座单厢,- -,1年9个月,5.10万公里,1.6L,6.5L,1.6L/CVT无级变速,前轮驱动,5门5座单厢,4620mm*1810mm*1740mm,2016年12月,海南 海口,
启辰,T70,9.60,紧凑型SUV,5门5座两厢,534L,4个月,0.56万公里,2.0L,7.8L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4542mm*1786mm*1642mm,2018年05月,广东 惠州,
现代,领动,9.68,紧凑型,4门5座三厢,462L,7个月,0.79万公里,1.6L,6.1L,1.6L/手自一体,前轮驱动,4门5座三厢,4610mm*1800mm*1450mm,2018年02月,广东 珠海,
长城,M4,4.60,小型,5门5座两厢,330L,2年8个月,2.60万公里,1.5L,6.0L,1.5L/手动,前轮驱动,5门5座两厢,3995mm*1728mm*1617mm,2016年01月,黑龙江 哈尔滨,
